"ncbi_id","ncbi_gs","ncbi_gs_synonyms","ncbi_name","pathway_kegg","pathway_reactome","pathway_wiki"
"1983","EIF5","EIF-5;EIF-5A;EIF5","eukaryotic translation initiation factor 5","","R-HSA-72702;R-HSA-72706","WP107;WP5027"
"9669","EIF5B","IF2;EIF5B","eukaryotic translation initiation factor 5B","","R-HSA-72706","WP4352;WP107"
"10486","CAP2","CMD2I;CAP2","cyclase associated actin cytoskeleton regulatory protein 2","","R-HSA-428890","WP2873;WP2858;WP2882"
"153222","CREBRF","C5orf41;LRF;CREBRF","CREB3 regulatory factor","","R-HSA-8874211",""
"81501","DCSTAMP","FIND;TM7SF4;hDC-STAMP;DCSTAMP","dendrocyte expressed seven transmembrane protein","","R-HSA-8874211","WP5347;WP4747"
"1393","CRHBP","CRF-BP;CRFBP;CRHBP","corticotropin releasing hormone binding protein","","R-HSA-373080","WP2355"
"2015","ADGRE1","EMR1;TM7LN3;ADGRE1","adhesion G protein-coupled receptor E1","","R-HSA-373080","WP334"
"30817","ADGRE2","CD312;CD97;EMR2;VBU;ADGRE2","adhesion G protein-coupled receptor E2","","R-HSA-373080","WP334;WP117"
"10491","CRTAP","CASP;LEPREL3;OI7;P3H5;CRTAP","cartilage associated protein","","R-HSA-1650814","WP4786"
"10536","P3H3","GRCB;HSU47926;LEPREL2;P3H3","prolyl 3-hydroxylase 3","","R-HSA-1650814","WP5312"
"26577","PCOLCE2","PCPE2;PCOLCE2","procollagen C-endopeptidase enhancer 2","","R-HSA-1650814",""
"5118","PCOLCE","PCPE;PCPE-1;PCPE1;PCOLCE","procollagen C-endopeptidase enhancer","","R-HSA-1650814;R-HSA-2243919",""
"55214","P3H2","LEPREL1;MCVD;MLAT4;P3H2","prolyl 3-hydroxylase 2","","R-HSA-1650814","WP4786"
"64175","P3H1","GROS1;LEPRE1;OI8;P3H1","prolyl 3-hydroxylase 1","","R-HSA-1650814","WP4786"
"871","SERPINH1","AsTP3;CBP1;CBP2;HSP47;OI10;PIG14;PPROM;RA-A47;SERPINH2;gp46;SERPINH1","serpin family H member 1","","R-HSA-1650814","WP5407;WP4942;WP5055;WP474;WP4808;WP5312;WP4786"
"6854","SYN2","SYNII;SYN2","synapsin II","","R-HSA-181429;R-HSA-212676","WP2267"
"8224","SYN3","SYN3","synapsin III","","R-HSA-181429;R-HSA-212676","WP2267"
"8497","PPFIA4","PPFIA4","PTPRF interacting protein alpha 4","","R-HSA-181429;R-HSA-181430;R-HSA-210500;R-HSA-212676;R-HSA-264642;R-HSA-388844",""
"8499","PPFIA2","PPFIA2","PTPRF interacting protein alpha 2","","R-HSA-181429;R-HSA-181430;R-HSA-210500;R-HSA-212676;R-HSA-264642;R-HSA-388844",""
"8500","PPFIA1","LIP.1;LIP1;LIPRIN;PPFIA1","PTPRF interacting protein alpha 1","","R-HSA-181429;R-HSA-181430;R-HSA-210500;R-HSA-212676;R-HSA-264642;R-HSA-388844","WP5417"
"8541","PPFIA3","LPNA3;PPFIA3","PTPRF interacting protein alpha 3","","R-HSA-181429;R-HSA-181430;R-HSA-210500;R-HSA-212676;R-HSA-264642;R-HSA-388844",""
"9256","TSPOAP1","BZRAP1;DYT22;PBR-IP;PRAX-1;PRAX1;RIM-BP1;RIMBP1;TSPOAP1","TSPO associated protein 1","","R-HSA-181429;R-HSA-181430;R-HSA-210500;R-HSA-212676;R-HSA-264642;R-HSA-196108",""
"10550","ARL6IP5","DERP11;GTRAP3-18;HSPC127;JWA;PRAF3;Yip6b;addicsin;hp22;jmx;ARL6IP5","ADP ribosylation factor like GTPase 6 interacting protein 5","","R-HSA-210500",""
"23082","PPRC1","PRC;PPRC1","PPARG related coactivator 1","","R-HSA-2151201","WP1541;WP391"
"2551","GABPA","E4TF1-60;E4TF1A;NFT2;NRF2;NRF2A;RCH04A07;GABPA","GA binding protein transcription factor subunit alpha","","R-HSA-2151201","WP2328;WP1541;WP3657;WP391;WP289;WP5087"
"2553","GABPB1","BABPB2;E4TF1;E4TF1-47;E4TF1-53;E4TF1B;GABPB;GABPB-1;GABPB2;NRF2B1;NRF2B2;GABPB1","GA binding protein transcription factor subunit beta 1","","R-HSA-2151201","WP3657;WP391;WP289"
"51106","TFB1M","CGI-75;CGI75;mtTFB;mtTFB1;TFB1M","transcription factor B1, mitochondrial","","R-HSA-2151201;R-HSA-6793080","WP1541;WP391"
